,,Nas,June,Lavan
Week 1,Proposed tasks (decide in week 1),Identify Objectives of Project,Identify Objectives of Project,Understanding NRL Data & Identifying Steps for Project
,Progress (report in week 2),Done with Github Repo,"Suggested ""Predicting total infringement based on the location of infringement""",Prepared questions regarding NRL Data for Industrial People
Week 2,Proposed tasks (decide in week 2),Readme - Project Desc & Usage,Readme - Project Desc & Project Status,Readme - Project Desc & Usage
,Progress (report in week 3),Readme submission on Moodle,Edit Readme & updated per feedback,Complete Readme final draft
Week 3,Proposed tasks (decide in week 3),Peer review on Readme draft,Peer review on Readme draft,Peer review on Readme draft
,Progress (report in week 4),Data product work on field position,Data product on possession,Data product on current score
Week 4,Proposed tasks (decide in week 4),Feature engineering on field position,Worked on data cleaning, filtering for possession variable,Started working on new readme draft
,Progress (report in week 5),Worked on data cleaning,Update feature engineering code on possession,Completed some feature engineering
Week 5,Proposed tasks (decide in week 5),Finished feature engineering for multiple features and completed EDA,Finished feature engineering on possession in Jupyter and uploaded derived CSV file,Conversing with tutor to get feedback on new readme file
,Progress (report in week 6),Finished feature engineering for multiple features and completed EDA,Prepare the updates for previous readme feedback,Completed new Readme file, Helped with data cleaning and scaling/normalization in CSV file
